Time;Goals;arbeiten;essen;fliehen;reden;schlafen;spielen;Actions;arbeiten;essen;fliehen;reden;schlafen;spielen;Current;Source;arbeiten;essen;fliehen;reden;schlafen;spielen;
 ;Ranks;2;3;4;2;3;1;
 ;Thresholds;0;0;0;0;0;0;
00:00;00:00;2;3;0;0;0;1; ;-1;0;0;0;0;0;arbeiten; ;0;0;0;0;0;0;
00:30;00:30;2;3;0;0;0;1; ;-1;0;0;0;0;0;arbeiten; ;0.133333;0;0;0;0;0;
01:00;01:00;2;3;0;0;0;1; ;-1;0;0;0;0;0;arbeiten; ;0.266667;0;0;0;0;0;
01:30;01:30;2;3;0;0;0;1; ;-1;0;0;0;0;0;arbeiten; ;0.4;0;0;0;0;0;
02:00;02:00;2;3;0;0.00135527;0;1; ;-1;0;0;0;0;0;arbeiten; ;0.533333;0;0;0;0;0;
02:30;02:30;2;3;0;2;0;1; ;-1;0;0;0;0;0;arbeiten; ;0.666667;0;0;0;0;0;
03:00;03:00;2;3;0;2;0;1; ;-1;0;0;0;0;0;arbeiten; ;0.8;0;0;0;0;0;
03:30;03:30;2;3;0;2;0;1; ;-1;0;0;0;0;0;arbeiten; ;0.933333;0;0;0;0;0;
03:59;03:59;2;3;0;2;0;1; ;-1;0;0;0;0;0;arbeiten; ;1.06667;0;0;0;0;0;
04:29;04:29;2;3;0;2;0;1; ;-1;0;0;0;0;0;arbeiten; ;1.2;0;0;0;0;0;
04:59;04:59;2;3;0;2;0;1; ;-1;0;0;0;0;0;arbeiten; ;1.33333;0;0;0;0;0;
05:29;05:29;2;3;0;2;0;1; ;-1;0;0;0;0;0;arbeiten; ;1.46667;0;0;0;0;0;
05:59;05:59;2;3;0;2;0;1; ;-1;0;0;0;0;0;arbeiten; ;1.6;0;0;0;0;0;
06:29;06:29;2;3;0;2;0;1; ;-1;0;0;0;0;0;arbeiten; ;1.73333;0;0;0;0;0;
06:59;06:59;2;3;0;2;0;1; ;-1;0;0;0;0;0;arbeiten; ;1.86667;0;0;0;0;0;
07:03;redeem arbeiten;0;3;0;2;0;1; ;-1;0;0;0;0;0;arbeiten;redeem arbeiten;2;0;0;0;0;0;
07:29;07:29;0;3;0;2;0;1; ;0;-1;0;0;0;0;essen; ;0;0;0;0;0;0;
07:59;07:59;0;3;0;2;0;1; ;0;-1;0;0;0;0;essen; ;0;1;0;0;0;0;
08:29;08:29;0;3;0;2;0;1; ;0;-1;0;0;0;0;essen; ;0;2;0;0;0;0;
08:32;redeem essen;0;0;0;2;0;1; ;0;-1;0;0;0;0;essen;redeem essen;0;3;0;0;0;0;
08:59;08:59;0;0;0;2;0;1; ;0;0;0;0;0;-0.1;spielen; ;0;0;0;0;0;0;
09:29;09:29;0;0;0;2;0;1; ;0;0;0;0;0;-0.1;spielen; ;0;0;0;0;0;0.5;
09:37;redeem spielen;0;0;0;2;0;0.9; ;0;0;0;0;0;-0.1;spielen;redeem spielen;0;0;0;0;0;1;
09:59;09:59;0;0;0;2;0;0.9; ;0;0;0;-1;0;0;reden; ;0;0;0;0;0;0;
10:29;10:29;0;0.747739;0;2;0;0.9; ;0;0;0;-1;0;0;reden; ;0;0;0;1;0;0;
10:43;redeem reden;0;1.0794;0;0;0;0.9; ;0;0;0;-1;0;0;reden;redeem reden;0;0;0;2;0;0;
10:59;10:59;0;1.49772;0;0;0;0.9; ;0;0;0;0;0;-0.1;spielen; ;0;0;0;0;0;0;
11:29;11:29;0;2.24768;0;0;0;0.9; ;0;0;0;0;0;-0.1;spielen; ;0;0;0;0;0;0.333333;
11:47;interrupt spielen;0;2.70015;0;0;0;0.9; ;0;-1;0;0;0;0;spielen;interrupt spielen;0;0;0;0;0;0.666667;
11:59;11:59;0;2.99763;0;0;0;0.9; ;0;-1;0;0;0;0;essen; ;0;0;0;0;0;1;
12:29;12:29;0;3;0;0;0;0.9; ;0;-1;0;0;0;0;essen; ;0;1;0;0;0;1;
12:59;12:59;0;3;0;0;0;0.9; ;0;-1;0;0;0;0;essen; ;0;2;0;0;0;1;
